Album_id,Album,Track,Artist_Track,Number,Goated,Rating,Duration
01TG7VOg4F90jXv3a1yCgA,The Smile Sessions,Surf's Up: 1st Movement - 2011 Smile Version,The Beach Boys,35,0,,295906
01TG7VOg4F90jXv3a1yCgA,The Smile Sessions,Surf's Up: Piano Demo - Master Take/2011 Smile Version,The Beach Boys,36,0,,234560
01TG7VOg4F90jXv3a1yCgA,The Smile Sessions,Vegetables: Fade,The Beach Boys,37,0,,325146
01TG7VOg4F90jXv3a1yCgA,The Smile Sessions,The Elements: Fire Session,The Beach Boys,38,0,,501493
01TG7VOg4F90jXv3a1yCgA,The Smile Sessions,"Cool, Cool Water - Version 2/2011 Smile Version",The Beach Boys,39,0,,215706
01TG7VOg4F90jXv3a1yCgA,The Smile Sessions,Good Vibrations: Session Highlights,The Beach Boys,40,0,,499440
02PXepuNHYKvGnXYy03oCp,Bloom,Myth,Beach House,1,0,,258653
02PXepuNHYKvGnXYy03oCp,Bloom,Wild,Beach House,2,0,,298320
02PXepuNHYKvGnXYy03oCp,Bloom,Lazuli,Beach House,3,0,,301866
02PXepuNHYKvGnXYy03oCp,Bloom,Other People,Beach House,4,0,,264626
02PXepuNHYKvGnXYy03oCp,Bloom,The Hours,Beach House,5,0,,251720
02PXepuNHYKvGnXYy03oCp,Bloom,Troublemaker,Beach House,6,0,,295546
02PXepuNHYKvGnXYy03oCp,Bloom,New Year,Beach House,7,0,,325760
02PXepuNHYKvGnXYy03oCp,Bloom,Wishes,Beach House,8,0,,286960
02PXepuNHYKvGnXYy03oCp,Bloom,On the Sea,Beach House,9,0,,332466
02PXepuNHYKvGnXYy03oCp,Bloom,Irene,Beach House,10,0,,1017000
03zH4bkGb2jSZAQIVW2px1,Let My Children Hear Music,The Shoes of the Fisherman's Wife Are Some Jive Ass Slippers,Charles Mingus,1,0,,574426
03zH4bkGb2jSZAQIVW2px1,Let My Children Hear Music,Adagio Ma Non Troppo,Charles Mingus,2,0,,503440
03zH4bkGb2jSZAQIVW2px1,Let My Children Hear Music,"Don't Be Afraid, The Clown's Afraid Too",Charles Mingus,3,0,,565466
03zH4bkGb2jSZAQIVW2px1,Let My Children Hear Music,Taurus In The Arena Of Life,Charles Mingus,4,0,,257200
03zH4bkGb2jSZAQIVW2px1,Let My Children Hear Music,Hobo Ho,Charles Mingus,5,0,,607066
03zH4bkGb2jSZAQIVW2px1,Let My Children Hear Music,The Chill Of Death(Recitation by Charles Mingus),Charles Mingus,6,0,,457826
03zH4bkGb2jSZAQIVW2px1,Let My Children Hear Music,The I of Hurricane Sue,Charles Mingus,7,0,,609440
04FfqGvZJ9oUBGRVrq2FE5,Bryter Layter,Introduction,Nick Drake,1,0,,92306
04FfqGvZJ9oUBGRVrq2FE5,Bryter Layter,Hazey Jane II,Nick Drake,2,0,,226426
04FfqGvZJ9oUBGRVrq2FE5,Bryter Layter,At The Chime Of A City Clock,Nick Drake,3,0,,285613
04FfqGvZJ9oUBGRVrq2FE5,Bryter Layter,One Of These Things First,Nick Drake,4,0,,290733
04FfqGvZJ9oUBGRVrq2FE5,Bryter Layter,Hazey Jane I,Nick Drake,5,0,,269346
04FfqGvZJ9oUBGRVrq2FE5,Bryter Layter,Bryter Layter,Nick Drake,6,0,,200666
04FfqGvZJ9oUBGRVrq2FE5,Bryter Layter,Fly,Nick Drake,7,0,,178000
04FfqGvZJ9oUBGRVrq2FE5,Bryter Layter,Poor Boy,Nick Drake,8,0,,367426
04FfqGvZJ9oUBGRVrq2FE5,Bryter Layter,Northern Sky,Nick Drake,9,0,,224013
04FfqGvZJ9oUBGRVrq2FE5,Bryter Layter,Sunday,Nick Drake,10,0,,223080
04uhhcjGVCHodMgZjXOlye,Deltron 3030,State of the Nation,Deltron 3030,1,0,,25853
04uhhcjGVCHodMgZjXOlye,Deltron 3030,3030,Deltron 3030,2,0,,449480
04uhhcjGVCHodMgZjXOlye,Deltron 3030,The Fantabulous Rap Extravaganza,Deltron 3030,3,0,,21773
04uhhcjGVCHodMgZjXOlye,Deltron 3030,Things You Can Do,Deltron 3030,4,0,,299826
04uhhcjGVCHodMgZjXOlye,Deltron 3030,Positive Contact,Deltron 3030,5,0,,282920
04uhhcjGVCHodMgZjXOlye,Deltron 3030,St. Catherine St.,Deltron 3030,6,0,,43506
04uhhcjGVCHodMgZjXOlye,Deltron 3030,Virus,Deltron 3030,7,0,,266240
04uhhcjGVCHodMgZjXOlye,Deltron 3030,Upgrade (A Baymar College College),Deltron 3030,8,0,,250373
04uhhcjGVCHodMgZjXOlye,Deltron 3030,New Coke,Deltron 3030,9,0,,41506
04uhhcjGVCHodMgZjXOlye,Deltron 3030,Mastermind,Deltron 3030,10,0,,214306
04uhhcjGVCHodMgZjXOlye,Deltron 3030,National Movie Review,Deltron 3030,11,0,,53080
04uhhcjGVCHodMgZjXOlye,Deltron 3030,Madness,Deltron 3030,12,0,,278880
04uhhcjGVCHodMgZjXOlye,Deltron 3030,Meet Cleofis Randolph the Patriarch,Deltron 3030,13,0,,36413
04uhhcjGVCHodMgZjXOlye,Deltron 3030,Time Keeps on Slipping,Deltron 3030,14,0,,299093
04uhhcjGVCHodMgZjXOlye,Deltron 3030,The News (A Wholly Owned Subsidiary of Microsoft Inc.),Deltron 3030,15,0,,49760
04uhhcjGVCHodMgZjXOlye,Deltron 3030,Turbulence - Remix,Deltron 3030,16,0,,213053
04uhhcjGVCHodMgZjXOlye,Deltron 3030,The Fantabulous Rap Extravaganza Part II,Deltron 3030,17,0,,37360
04uhhcjGVCHodMgZjXOlye,Deltron 3030,Battlesong,Deltron 3030,18,0,,247200
04uhhcjGVCHodMgZjXOlye,Deltron 3030,Love Story,Deltron 3030,19,0,,206373
04uhhcjGVCHodMgZjXOlye,Deltron 3030,Memory Loss,Deltron 3030,20,0,,279280
04uhhcjGVCHodMgZjXOlye,Deltron 3030,The Assman 640 Speaks,Deltron 3030,21,0,,33080
04uhhcjGVCHodMgZjXOlye,Deltron 3030,Positive Contact - Bonus Track - Charlie Clouser Remix,Deltron 3030,22,0,,296133
04uhhcjGVCHodMgZjXOlye,Deltron 3030,Turbulence - Bonus Track - Mark Bell Remix,Deltron 3030,23,0,,258986
04uhhcjGVCHodMgZjXOlye,Deltron 3030,Positive Contact - Bonus Track - Mario C Remix,Deltron 3030,24,0,,236853
05J8PFXdYKeYNb8YjqqJYr,Endless Summer,Surfin' Safari,The Beach Boys,1,0,3.0,128093
05J8PFXdYKeYNb8YjqqJYr,Endless Summer,Surfer Girl,The Beach Boys,2,0,3.0,149066
